id_marca,nombre_marca,numero_registro,estado_registro
249,19 CRIMES CALI BLANC,LBD.0193343,ACTIVE
250,19 CRIMES CALI BY SNOOP RED WINE CALIFORNIA,LBD.0232620,ACTIVE
251,19 CRIMES CALI CHILL,LBD.0231574,ACTIVE
252,19 CRIMES CALI GOLD SPARKLING WINE,LBD.0191959,ACTIVE
253,19 CRIMES CALI RED RED WINE,LBD.0166681,ACTIVE
254,19 CRIMES CALI ROSE GOLD,LBD.0215737,ACTIVE
255,19 CRIMES CALI ROSE WINE,LBD.0173689,ACTIVE
256,19 CRIMES CALI SMOOTH,LBD.0215735,ACTIVE
257,19 CRIMES CALI SWEET,LBD.0222999,ACTIVE
258,19 CRIMES DRACULA RED WINE,LBD.0207902,ACTIVE
259,19 CRIMES FRANKENSTEIN CABERNET SAUVIGNON,LBD.0207901,ACTIVE
260,19 CRIMES LIFE SENTENCE CABERNET SAUVIGNON,LBD.0137005,ACTIVE
261,19 CRIMES LIFE SENTENCE RED WINE,LBD.0137006,ACTIVE
262,19 CRIMES LIMITED EDITION REVOLUTIONARY BLEND RED WINE,LBD.0197402,ACTIVE
263,19 CRIMES MARTHA CALIFORNIA CHARDONNAY,LBD.0183836,ACTIVE
264,19 CRIMES RED WINE,LBD.0094563,ACTIVE
265,19 CRIMES RED WINE SOUTH EASTERN AUSTRALIA,LBD.0236764,ACTIVE
266,19 CRIMES SEVERED RED LIQUID DEATH RED WINE,LBD.0230180,ACTIVE
267,19 CRIMES SOUTH EASTERN AUSTRALIA CHARDONNAY,LBD.0134927,ACTIVE
268,19 CRIMES SOUTH EASTERN AUSTRALIA RED WINE,LBD.0147214,ACTIVE
269,19 CRIMES THE BANISHED,LBD.0127438,ACTIVE
270,19 CRIMES THE UPRISING RED WINE,LBD.0135298,ACTIVE
271,19 CRIMES THE WARDEN RED WINE,LBD.0124525,ACTIVE
272,19 CRIMES UNIVERSAL CHARDONNAY,LBD.0225686,ACTIVE
273,19 CRMES SHIRAZ,LBD.0129008,ACTIVE
274,1906 RESERVA SPECIAL,LBD.0167487,ACTIVE
275,1911 BLUEBERRY HARD CIDER,LBD.0174093,ACTIVE
276,1911 CANDY CORN HARD CIDER,LBD.0209808,ACTIVE
277,1911 CIDER DONUT HARD CIDER,LBD.0174058,ACTIVE
278,1911 CRANBERRY HARD CIDER,LBD.0174092,ACTIVE
279,1911 ESTABLISHED BLACK CHERRY,LBD.0216943,ACTIVE
280,1911 ESTABLISHED BLUEBERRY CIDER,LBD.0216944,ACTIVE
281,1911 ESTABLISHED BLUEBERRY SPIRIT,LBD.0213821,ACTIVE
282,1911 ESTABLISHED CANDY CORN,LBD.0216945,ACTIVE
283,1911 ESTABLISHED CHERRY PIE,LBD.0216946,ACTIVE
284,1911 ESTABLISHED CIDER DONUT,LBD.0216947,ACTIVE
285,1911 ESTABLISHED COLD BREW,LBD.0227580,ACTIVE
286,1911 ESTABLISHED COTTON CANDY,LBD.0216948,ACTIVE
287,1911 ESTABLISHED CRANBERRY,LBD.0216949,ACTIVE
288,1911 ESTABLISHED EMBER & ACRE,LBD.0231072,ACTIVE
289,1911 ESTABLISHED FREEDOM,LBD.0216950,ACTIVE
290,1911 ESTABLISHED GREEN CIDER,LBD.0217072,ACTIVE
291,1911 ESTABLISHED HALF & HALF,LBD.0224876,ACTIVE
292,1911 ESTABLISHED HAUNTED HAYRIDE,LBD.0221199,ACTIVE
293,1911 ESTABLISHED HONEY PEAR,LBD.0221893,ACTIVE
294,1911 ESTABLISHED HONEYCRISP,LBD.0206207,ACTIVE
295,1911 ESTABLISHED HONEYCRISP CIDER,LBD.0217061,ACTIVE
296,1911 ESTABLISHED HONEYCRISP MULE,LBD.0219417,ACTIVE
297,1911 ESTABLISHED IMPERIAL BLUEBERRY,LBD.0237470,ACTIVE
298,1911 ESTABLISHED IMPERIAL CRANBERRY,LBD.0237471,ACTIVE
299,1911 ESTABLISHED JAM ON IT,LBD.0217062,ACTIVE
300,1911 ESTABLISHED JAMBERRY,LBD.0219950,ACTIVE
301,1911 ESTABLISHED KEY LIME,LBD.0217068,ACTIVE
302,1911 ESTABLISHED LAFAYETTE,LBD.0217153,ACTIVE
303,1911 ESTABLISHED LAFAYETTE LEMONADE,LBD.0219418,ACTIVE
304,1911 ESTABLISHED LEMON TEA VODKA,LBD.0219416,ACTIVE
305,1911 ESTABLISHED LOGANBERRY,LBD.0226953,ACTIVE
306,1911 ESTABLISHED LOGANBERRY CIDER,LBD.0227589,ACTIVE
307,1911 ESTABLISHED MAPLE BOURBON BARREL AGED,LBD.0217077,ACTIVE
308,1911 ESTABLISHED N.E.S.I.P.C. HOPPED,LBD.0217063,ACTIVE
309,1911 ESTABLISHED ORANGE CREAMSICLE,LBD.0213822,ACTIVE
310,1911 ESTABLISHED ORANGE CREAMSICLE CIDER,LBD.0217064,ACTIVE
311,1911 ESTABLISHED ORIGINAL,LBD.0216941,ACTIVE
312,1911 ESTABLISHED PINEAPPLE MANGO,LBD.0217065,ACTIVE
313,1911 ESTABLISHED PINK LADY,LBD.0217066,ACTIVE
314,1911 ESTABLISHED RASPBERRY,LBD.0216942,ACTIVE
315,1911 ESTABLISHED RED SANGRIA,LBD.0232868,ACTIVE
316,1911 ESTABLISHED ROSE,LBD.0217073,ACTIVE
317,1911 ESTABLISHED SANGRIA,LBD.0217074,ACTIVE
318,1911 ESTABLISHED SOUR BLACKBERRY,LBD.0217078,ACTIVE
319,1911 ESTABLISHED SOUR CHERRY,LBD.0217067,ACTIVE
320,1911 ESTABLISHED SOUR PEACH,LBD.0217069,ACTIVE
321,1911 ESTABLISHED SOUR POMEGRANATE,LBD.0225337,ACTIVE
322,1911 ESTABLISHED SOUR RASPBERRY,LBD.0217070,ACTIVE
323,1911 ESTABLISHED SOUR TANGERINE,LBD.0217071,ACTIVE
324,1911 ESTABLISHED SPIKED NITRO,LBD.0219420,ACTIVE
325,1911 ESTABLISHED STRAWBERRY,LBD.0217075,ACTIVE
326,1911 ESTABLISHED SUGAR PLUM,LBD.0219265,ACTIVE
327,1911 ESTABLISHED SWEET APPLE,LBD.0227590,ACTIVE
328,1911 ESTABLISHED SWEET TEA WHISKEY,LBD.0218403,ACTIVE
329,1911 ESTABLISHED UNFILTERED MCINTOSH,LBD.0217076,ACTIVE
330,1911 ESTABLISHED VODKA CANDY CORN,LBD.0218060,ACTIVE
331,1911 ESTABLISHED WHISKEY COLA,LBD.0219419,ACTIVE
332,1911 GREEN CIDER,LBD.0209425,ACTIVE
333,1911 PRIDE HARD CIDER,LBD.0175849,ACTIVE
334,1911 UNFILTERED MCINTOSH HARD CIDER,LBD.0181086,ACTIVE
335,1912 RESERVE,LBD.0212117,ACTIVE
336,1921 TEQUILA ANEJO,LBD.0102085,ACTIVE
337,1921 TEQUILA BLANCO,LBD.0102084,ACTIVE
338,1921 TEQUILA CREAM,LBD.0102087,ACTIVE
339,1921 TEQUILA REPOSADO,LBD.0102086,ACTIVE
